stop_id,stop_name,stop_lat,stop_lon
7612,"Merrion Square, Stop 7612",53.34134678,-6.25052948
2,"Parnell Square West, Stop 2",53.35224436,-6.263723219
3,"Parnell Square West, Stop 3",53.35230855,-6.263810742
4,"Parnell Square West, Stop 4",53.35257451,-6.264175486
6,"Parnell Square West, Stop 6",53.35274934,-6.264453804
7,"Parnell Square West, Stop 7",53.35284091,-6.264570261
8,"Parnell Square West, Stop 8",53.35327227,-6.265183677
10,"Parnell Square West, Stop 10",53.3533921,-6.265389124
11,"St Joseph's Parade, Stop 11",53.3569583,-6.264628311
12,"Upper Dorset Street, Stop 12",53.35680494,-6.264589471
14,"Dorset Street Lower, Stop 14",53.35853124,-6.262776506
15,"Innisfallen Parade, Stop 15",53.36008858,-6.26109047
16,"Nephin Road Park, Stop 16",53.36639156,-6.305614184
17,"Drumcondra Rail Stn, Stop 17",53.36291707,-6.258435917
18,"Dargle Road, Stop 18",53.36585593,-6.255956821
19,"Botanic Avenue, Stop 19",53.36714373,-6.255513501
21,"DCU St Patrick's, Stop 21",53.3701012,-6.254310599
22,"Home Farm Road, Stop 22",53.37350361,-6.252803753
23,"Ferguson Road, Stop 23",53.37422828,-6.256261004
24,"Walsh Road, Stop 24",53.37513316,-6.260372348
25,"Rathlin Road, Stop 25",53.37589947,-6.263617736
27,"Ballymun Road, Stop 27",53.37943896,-6.266585261
28,"Hampstead Avenue, Stop 28",53.38157864,-6.266002271
29,"Albert College Park, Stop 29",53.38348825,-6.265669101
30,"Ventry Park, Stop 30",53.3703319,-6.304601169
31,"St Pappin's Road, Stop 31",53.38603323,-6.268858077
32,"Stormanstown Road, Stop 32",53.38619557,-6.271377201
33,"Glasnevin Drive, Stop 33",53.38871792,-6.271771141
35,"Dean Swift Road, Stop 35",53.38620679,-6.270910693
36,"Maolbuille Road, Stop 36",53.38612685,-6.26787707
37,"DCU Ballymun Road, Stop 37",53.3853464,-6.264886981
38,"Hampstead Avenue, Stop 38",53.38223659,-6.265509521
39,"The Rise, Stop 39",53.38041419,-6.265658759
40,"Stella Avenue, Stop 40",53.37666077,-6.264668969
41,"Home Farm Road, Stop 41",53.37555927,-6.261858006
42,"Corpus Christi NS, Stop 42",53.37465027,-6.25746119
43,"Achill Road, Stop 43",53.37386122,-6.25390131
44,"Skylon Hotel, Stop 44",53.37301741,-6.252132303
45,"DCU St Patrick’s, Stop 45",53.36999011,-6.254089717
46,"Botanic Avenue, Stop 46",53.36715074,-6.255377969
47,"Drumcondra Rail Stn, Stop 47",53.36391612,-6.257298257
48,"Fitzroy Avenue, Stop 48",53.36232903,-6.258790465
49,"Dorset Street Lower, Stop 49",53.36003184,-6.260897458
51,"Temple Street, Stop 51",53.35798985,-6.263249251
52,"Dorset Street Upper, Stop 52",53.35679465,-6.264499748
53,"North Circular Road, Stop 53",53.36001449,-6.262791289
54,"Mater Hospital, Stop 54",53.36015371,-6.26556522
55,"Mountjoy, Stop 55",53.3604116,-6.26846958
56,"Dalymount, Stop 56",53.36075972,-6.276373655
57,"Dalymount, Stop 57",53.36081622,-6.276551675
58,"Churchview Home, Stop 58",53.36094625,-6.281204202
59,"Annamoe Terrace, Stop 59",53.36101801,-6.284942563
