stop_id,stop_name,stop_lat,stop_lon
822G000007,Connolly,53.35122994,-6.249659063
822GA00003,Killester,53.37284081,-6.205112587
822GA00004,Killester,53.37271257,-6.204952657
822GA00007,Clontarf Road,53.36298956,-6.227344408
822GA00008,Clontarf Road,53.36295206,-6.227240783
822GA00011,Harmonstown,53.37850806,-6.192322961
822GA00012,Harmonstown,53.37842517,-6.19219119
822GA00015,Raheny,53.3815006,-6.17633685
822GA00016,Raheny,53.38165376,-6.176360369
822GA00019,Kilbarrack,53.38749091,-6.161376846
822GA00020,Kilbarrack,53.38740683,-6.161169985
822GA00052,Ashtown,53.37545313,-6.33253409
822GA00053,Ashtown,53.37529748,-6.332329751
822GA00065,Tara St,53.34707382,-6.254320401
822GA00066,Tara St,53.34711741,-6.254228498
822GA00079,Sydney Parade,53.32068849,-6.211505407
822GA00080,Sydney Parade,53.32075002,-6.211412767
822GA00099,Sandymount,53.32797054,-6.221229889
822GA00100,Sandymount,53.32795843,-6.221020203
822GA00137,Park West and Cherry Orchard,53.33387086,-6.379217832
822GA00138,Park West and Cherry Orchard,53.33395089,-6.379154736
822GA00149,Clongriffin,53.40300141,-6.148961622
822GA00150,Clongriffin,53.4029726,-6.148842552
822GA00171,Connolly,53.35300456,-6.246867296
822GA00172,Connolly,53.35316514,-6.246785593
822GA00173,Connolly,53.35319275,-6.246829527
822GA00184,Docklands,53.35083677,-6.23943044
822GA00185,Docklands,53.3508523,-6.239264562
822GA00194,Drumcondra,53.3631125,-6.258893749
822GA00195,Drumcondra,53.36303275,-6.25897213
822GA00204,Pearse,53.34348436,-6.249195383
822GA00205,Pearse,53.34360158,-6.249220618
822GA00226,Broombridge,53.37277446,-6.299394226
822GA00229,Broombridge,53.37264442,-6.299098824
822GA00240,Lansdowne Road,53.33374526,-6.228767683
822GA00241,Lansdowne Road,53.33379737,-6.228645398
822GA00249,Grand Canal Dock,53.33958882,-6.237956589
822GA00250,Grand Canal Dock,53.33965869,-6.237818549
822GA00256,Heuston,53.34610812,-6.296956206
822GA00257,Heuston,53.34610467,-6.296085194
823GA00143,Clondalkin Fonthill,53.33342846,-6.405751372
823GA00144,Clondalkin Fonthill,53.33350033,-6.405748692
823GA00410,Clondalkin Fonthill,53.33330169,-6.405681024
824GA00025,Howth Junction and Donaghmede,53.39147331,-6.155010298
824GA00027,Howth Junction and Donaghmede,53.39178219,-6.15522248
824GA00028,Howth Junction and Donaghmede,53.39181169,-6.155386603
824GA00039,Sutton,53.39209904,-6.116234436
824GA00040,Sutton,53.39199196,-6.116284275
824GA00133,"Castleknock, Castleknock",53.38154,-6.371740657
824GA00134,"Castleknock, Castleknock",53.381482,-6.371442228
824GA00156,Clonsilla,53.38310745,-6.423558439
824GA00157,Clonsilla,53.38298247,-6.423623186
824GA00162,Coolmine,53.37772649,-6.3907648
824GA00163,Coolmine,53.37761788,-6.390708773
824GA00165,Hansfield,53.38685054,-6.441671254
824GA00176,Hansfield,53.3868853,-6.441579781
824GA00208,Navan Road Parkway,53.37773997,-6.34573202
824GA00209,Navan Road Parkway,53.37767813,-6.345809571
824GA00214,Portmarnock,53.41739015,-6.151195242
824GA00215,Portmarnock,53.41732038,-6.151333676
824GA00218,Bayside,53.39158228,-6.137142592
824GA00266,Howth,53.38908678,-6.074478748
824GA00267,Howth,53.38916786,-6.074490123
824GA00461,Bayside,53.39151019,-6.137130705
825GA00094,Seapoint,53.29911535,-6.165265872
825GA00095,Seapoint,53.29917684,-6.165173214
825GA00109,Glenageary,53.28115573,-6.123052927
825GA00110,Glenageary,53.28130819,-6.123031247
825GA00113,Sandycove And Glasthule,53.28783805,-6.127304915
825GA00114,Sandycove And Glasthule,53.28785436,-6.127199203
825GA00117,Salthill And Monkstown,53.29537234,-6.152209273
825GA00118,Salthill And Monkstown,53.29543475,-6.152176574
825GA00123,Blackrock,53.30277262,-6.178688488
825GA00124,Blackrock,53.30285277,-6.178640062
825GA00128,Booterstown,53.30998132,-6.195249896
825GA00129,Booterstown,53.31017177,-6.195361921
825GA00180,Dalkey,53.275668,-6.10343933
825GA00181,Dalkey,53.27576465,-6.10330009
825GA00199,Dun Laoghaire,53.29501503,-6.135032136
825GA00200,Dun Laoghaire,53.29498504,-6.134838413
825GA00271,Killiney,53.25583103,-6.113100487
825GA00272,Killiney,53.25578209,-6.112847835
831GA00018,Dunboyne,53.41729459,-6.46474991
831GA00019,Dunboyne,53.41728754,-6.464900609
